stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
762012718,,Lakkegata skole,,59.9205670,10.7682250,,,0,
762012722,,Sinsen kirke,,59.9317820,10.7871110,,,0,
762012723,,Sinsen kirke,,59.9316900,10.7871070,,,0,
762012725,,Sofienberg,,59.9230120,10.7719690,,,0,
762012726,,Sofienberg,,59.9228400,10.7714050,,,0,
762012730,,Birkelunden,,59.9272990,10.7602620,,,0,
762012731,,Birkelunden,,59.9270210,10.7609450,,,0,
762012732,,Birkelunden,,59.9266170,10.7611920,,,0,
762012736,,Carl Berners plass,,59.9266280,10.7763130,,,0,
762012738,,Carl Berners plass,,59.9267160,10.7764960,,,0,
762012739,,Carl Berners plass,,59.9267120,10.7752440,,,0,
762012740,,Carl Berners plass,,59.9268540,10.7768080,,,0,
762012741,,Carl Berners plass,,59.9265860,10.7765970,,,0,
762012742,,Carl Berners plass,,59.9263650,10.7752080,,,0,
762012745,,Marienlyst,,59.9323810,10.7246320,,,0,
762012746,,Marienlyst,,59.9321670,10.7237090,,,0,
762012749,,Alexander Kiellands plass,,59.9288180,10.7496600,,,0,
762012750,,Alexander Kiellands plass,,59.9279940,10.7494200,,,0,
762012751,,Alexander Kiellands plass,,59.9286230,10.7493640,,,0,
762012752,,Alexander Kiellands plass,,59.9279370,10.7490230,,,0,
762012757,,Calmeyers gate,,59.9168590,10.7554170,,,0,
762012759,,Colletts gate,,59.9270480,10.7386340,,,0,
762012760,,Colletts gate,,59.9268420,10.7388020,,,0,
762012763,,Evald Ryghs gate,,59.9304280,10.7487610,,,0,
762012764,,Evald Ryghs gate,,59.9310150,10.7490780,,,0,
762012766,,Falck Ytters plass,,59.9258080,10.7448500,,,0,
762012767,,Falck Ytters plass,,59.9258800,10.7447460,,,0,
762012769,,Fayes gate,,59.9351810,10.7416910,,,0,
762012770,,Fayes gate,,59.9352800,10.7431640,,,0,
762012774,,Lindern,,59.9347040,10.7437780,,,0,
762012775,,Lindern,,59.9343490,10.7436340,,,0,
762012777,,Lovisenberg,,59.9307330,10.7427460,,,0,
762012778,,Lovisenberg,,59.9308400,10.7426620,,,0,
762012780,,Nordahl Bruns gate,,59.9192500,10.7436650,,,0,
762012781,,Nordahl Bruns gate,,59.9196280,10.7436670,,,0,
762012783,,Sofies plass,,59.9238550,10.7350670,,,0,
762012784,,Sofies plass,,59.9243050,10.7350200,,,0,
762012786,,Stensberggata,,59.9220850,10.7412010,,,0,
762012787,,Stensberggata,,59.9225810,10.7410660,,,0,
762012790,,Tannlegehøyskolen,,59.9330440,10.7422410,,,0,
762012791,,Tannlegehøyskolen,,59.9326780,10.7420970,,,0,
762012793,,Telthusbakken,,59.9244380,10.7504850,,,0,
762012794,,Telthusbakken,,59.9245190,10.7506320,,,0,
762012803,,Arne Garborgs plass,,59.9164120,10.7449830,,,0,
762012805,,Keysers gate,,59.9170460,10.7440500,,,0,
762012809,,Ullevålsalléen,,59.9378240,10.7300340,,,0,
762012810,,Ullevålsalléen,,59.9380720,10.7303330,,,0,
762012812,,Frydenlund,,59.9209520,10.7331090,,,0,
762012814,,St. Hanshaugen,,59.9240070,10.7397100,,,0,
762012815,,St. Hanshaugen,,59.9245190,10.7399150,,,0,
762012816,,St. Hanshaugen,,59.9244460,10.7419870,,,0,
762012817,,St. Hanshaugen,,59.9233380,10.7394240,,,0,
762012819,,Vestre Aker kirke,,59.9351770,10.7305230,,,0,
762012820,,Vestre Aker kirke,,59.9349750,10.7280430,,,0,
762012821,,Vestre Aker kirke,,59.9343640,10.7280650,,,0,
762012823,,Halvor Blinderns plass,,59.9374920,10.7235920,,,0,
762012824,,Halvor Blinderns plass,,59.9374010,10.7232280,,,0,
762012826,,Bergrådveien,,59.9531900,10.7573560,,,0,
762012827,,Bergrådveien,,59.9533730,10.7570430,,,0,
762012829,,Eventyrveien,,59.9439090,10.7308880,,,0,
762012830,,Eventyrveien,,59.9446980,10.7318070,,,0,
762012833,,Lillo terrasse,,59.9507980,10.7761020,,,0,
762012834,,Lillo terrasse,,59.9516070,10.7748200,,,0,
762012836,,Rikshospitalet,,59.9477380,10.7149210,,,0,
762012837,,Rikshospitalet,,59.9476670,10.7148990,,,0,
762012838,,Rikshospitalet,,59.9475910,10.7158440,,,0,
762012868,,Akebakken,,59.9527850,10.7973200,,,0,
762012869,,Akebakken,,59.9525380,10.7969850,,,0,
762012871,,Aschehougs vei,,59.9464720,10.7926650,,,0,
762012872,,Aschehougs vei,,59.9465330,10.7925960,,,0,
762012874,,Blåsbortveien,,59.9508590,10.7608140,,,0,
762012875,,Blåsbortveien,,59.9508780,10.7609940,,,0,
762012877,,Brannvaktveien,,59.9535520,10.7922760,,,0,
762012878,,Brannvaktveien,,59.9536900,10.7922840,,,0,
762012881,,Brekkehagan,,59.9649580,10.7664350,,,0,
762012882,,Brekkehagan,,59.9650460,10.7666540,,,0,
762012884,,Christophers vei,,59.9497340,10.7503510,,,0,
762012885,,Christophers vei,,59.9497830,10.7505500,,,0,
762012887,,Domus Athletica,,59.9474070,10.7218690,,,0,
762012889,,Frysja,,59.9667170,10.7740520,,,0,
762012892,,Godals vei,,59.9473500,10.7600550,,,0,
762012893,,Godals vei,,59.9479790,10.7599090,,,0,
762012895,,Grefsenkollveien,,59.9513360,10.7960970,,,0,
762012897,,Grefsenlia,,59.9499170,10.7968790,,,0,
762012899,,Grefsenplatået,,59.9560390,10.7858560,,,0,
762012900,,Grefsenplatået,,59.9560700,10.7854640,,,0,
762012902,,Grefsenseteren,,59.9554600,10.7986120,,,0,
762012903,,Grefsenseteren,,59.9554100,10.7984840,,,0,
762012905,,Gulldalen,,59.9626580,10.7959390,,,0,
762012906,,Gulldalen,,59.9625930,10.7958280,,,0,
762012908,,Gullhaugveien,,59.9489290,10.7695560,,,0,
762012909,,Gullhaugveien,,59.9488070,10.7694780,,,0,
762012911,,Havnabakken,,59.9591940,10.7541280,,,0,
762012915,,Kirketomta,,59.9599840,10.7975850,,,0,
762012916,,Kirketomta,,59.9601020,10.7974130,,,0,
762012918,,Korsvoll,,59.9628220,10.7657830,,,0,
762012919,,Korsvoll,,59.9620440,10.7654730,,,0,
762012921,,Korsvollbakken,,59.9580230,10.7625010,,,0,
762012922,,Korsvollbakken,,59.9581300,10.7626500,,,0,
762012924,,Korsvollbråtan,,59.9589730,10.7560140,,,0,
762012927,,Kristoffer Aamots bro,,59.9468800,10.7643800,,,0,
762012929,,Lettvinten,,59.9458660,10.7843780,,,0,
762012930,,Lettvinten,,59.9459720,10.7843300,,,0,
762012932,,Lofthus,,59.9474530,10.8037820,,,0,
762012933,,Lofthus,,59.9471700,10.8033010,,,0,
762012934,,Lofthus,,59.9474640,10.8028150,,,0,
762012936,,Lyngåsveien,,59.9565890,10.7883930,,,0,
762012937,,Lyngåsveien,,59.9561770,10.7889440,,,0,
762012939,,Nordberghjemmet,,59.9612850,10.7449950,,,0,
762012940,,Nordberghjemmet,,59.9613800,10.7449830,,,0,
762012942,,Nordbergveien,,59.9578090,10.7326880,,,0,
762012943,,Nordbergveien,,59.9576870,10.7328790,,,0,
762012945,,Nordre Åsen,,59.9441830,10.7866330,,,0,
762012946,,Nordre Åsen,,59.9442630,10.7866190,,,0,
